symbol,side,sector,lev,entry_kst,exit_kst,entry_ts,exit_ts,hold_h,entry_hour_kst,n_entries,n_exits,taker_ratio,notional,margin,gross_pnl,fee,net_pnl,roe,liquidation,regime,btc_adx,btc_atr_pct,btc_move_pct,day
BNB/USDT:USDT,short,major,3,08-30 10:13,08-30 10:16,1788052431.566,1788052567.81,0.03784555554389954,10,14,4,1.0,656.6749999999998,218.89166666666662,0.004000000000000198,-0.47280456,-0.4688045599999998,-0.002141719541630182,False,trend_down,20.2,0.33,0.0,08-30
BNB/USDT:USDT,short,major,3,08-30 10:17,08-30 12:00,1788052639.959,1788058834.864,1.720806944436497,10,3,2,1.0,655.88,218.62666666666667,-2.852,-0.47326032,-3.32526032,-0.015209765444898457,False,trend_down,20.2,0.33,0.08,08-30
BNB/USDT:USDT,short,major,3,08-31 05:45,09-03 16:05,1788122737.043,1788419122.666,82.32933972219627,5,55,26,1.0,5441.103999999998,1813.7013333333327,2.521000000000004,-3.9166873200000003,-1.3956873199999964,-0.0007695243391782239,False,trend_up,27.3,0.42,0.05,09-03
TAO/USDT:USDT,short,alt,3,09-03 05:26,09-03 15:38,1788380806.896,1788417529.913,10.200838055610657,5,1,12,1.0,1167.438,389.146,-20.942999999999994,-0.8480948399999997,-21.791094839999992,-0.055997221711131535,False,chop,18.0,0.66,0.0,09-03
DOS/USDT:USDT,short,alt,3,09-02 10:00,09-02 11:17,1788310812.055,1788315477.831,1.2960488888952466,10,6,7,1.0,859.5999999999999,286.5333333333333,-18.52699999999946,-0.62558172,-19.15258171999946,-0.06684242107957002,False,chop,18.0,0.66,0.0,09-02
DOS/USDT:USDT,short,alt,3,09-03 06:14,09-03 09:34,1788383698.345,1788395657.136,3.3218863888581596,6,29,2,1.0,985.9680000000001,328.656,-21.82999999999786,-0.7177557600000001,-22.54775575999786,-0.06860594591304543,False,chop,18.0,0.66,0.0,09-03
SUI/USDT:USDT,short,alt,3,08-31 21:24,09-03 05:06,1788179078.097,1788379609.186,55.70308027784029,21,25,29,1.0,1994.7050000000002,664.9016666666668,-40.18989999999917,-1.4506559640000003,-41.64055596399917,-0.06262663797002438,False,trend_down,21.8,0.62,0.89,09-03
GRVT/USDT:USDT,short,alt,3,09-02 03:31,09-02 09:05,1788287471.614,1788307500.603,5.563608055512111,3,5,19,1.0,526.6774,175.55913333333334,-10.78289999999935,-0.38308957199999993,-11.165989571999349,-0.06360244186668736,False,chop,18.0,0.66,0.0,09-02
BTC/USDT:USDT,short,major,3,08-30 10:17,08-30 10:31,1788052634.859,1788053460.222,0.22926749997668797,10,3,2,1.0,717.32768,239.10922666666667,-0.01824,-0.516482496,-0.534722496,-0.0022363105909979663,False,trend_down,20.2,0.33,0.0,08-30
AVAX/USDT:USDT,short,major,3,08-31 17:08,09-01 23:39,1788163707.636,1788273579.615,30.519994166692097,17,15,9,1.0,856.4036000000001,285.4678666666667,-12.93729999999998,-0.6212680199999999,-13.55856801999998,-0.04749595174518175,False,trend_up,25.4,0.58,0.2,09-01
BTC/USDT:USDT,long,major,5,08-31 02:00,08-31 08:23,1788109238.006,1788132195.664,6.3771272222201025,2,2,4,1.0,2237.5595900000003,447.51191800000004,-20.10102,-1.6038065376000004,-21.7048265376,-0.04850111396943846,False,trend_up,24.1,0.39,-1.71,08-31
BTC/USDT:USDT,long,major,5,08-31 17:42,09-01 22:06,1788165753.239,1788268008.753,28.40430944442749,17,2,2,1.0,1991.5263700000003,398.30527400000005,-19.50974,-1.42687548,-20.93661548,-0.052564243676070425,False,trend_up,25.4,0.58,0.2,09-01
ADA/USDT:USDT,short,major,3,08-30 01:30,08-30 01:45,1788021043.408,1788021934.738,0.2475916666454739,1,1,2,1.0,784.0000000000001,261.33333333333337,-2.224,-0.56528064,-2.7892806400000003,-0.01067326775510204,False,trend_down,28.6,0.41,0.0,08-30
ADA/USDT:USDT,short,major,3,08-30 10:02,08-30 15:40,1788051741.426,1788072050.538,5.641419999996821,10,7,6,1.0,661.98,220.66,-4.29,-0.47817,-4.76817,-0.0216086739780658,False,trend_down,20.2,0.33,0.27,08-30
ADA/USDT:USDT,short,major,3,08-31 16:15,09-01 03:41,1788160525.775,1788201672.503,11.429646666646004,16,1,4,1.0,856.29,285.43,-13.139999999999999,-0.6212592000000001,-13.7612592,-0.048212378516624035,False,trend_down,27.2,0.58,0.55,09-01
ZHIPU/USDT:USDT,long,alt,3,08-31 15:13,08-31 20:10,1788156789.965,1788174639.004,4.958066388898426,15,12,11,1.0,872.3069,290.7689666666667,-2.048100000000001,-0.6273236520000001,-2.675423652000001,-0.009201200811319964,False,trend_down,28.6,0.59,0.3,08-31
0G/USDT:USDT,long,alt,3,08-31 15:33,08-31 16:52,1788158007.374,1788162751.819,1.3179013888703452,15,6,2,1.0,1096.6545,365.55150000000003,-22.185500000000427,-0.78160446,-22.967104460000428,-0.06282864236639824,False,trend_down,28.6,0.59,0.15,08-31
0G/USDT:USDT,long,alt,3,08-31 16:53,08-31 16:56,1788162783.118,1788162975.554,0.05345444440841675,16,7,16,1.0,1082.9325,360.97749999999996,-22.593199999999996,-0.771577848,-23.364777847999996,-0.06472641050480984,False,trend_down,27.2,0.58,0.0,08-31
0G/USDT:USDT,long,alt,3,08-31 17:00,08-31 17:03,1788163229.416,1788163381.601,0.04227361116144392,17,5,2,1.0,1078.321,359.4403333333333,-24.665600000000268,-0.767511504,-25.43311150400027,-0.0707575337139876,False,trend_up,25.4,0.58,0.0,08-31
TRUMP/USDT:USDT,short,meme,3,08-31 11:02,08-31 11:13,1788141754.893,1788142411.06,0.18226861112647585,11,1,1,1.0,1103.2307,367.7435666666667,-22.7568,-0.802518552,-23.559318551999997,-0.06406452943704338,False,trend_down,28.5,0.61,0.0,08-31
ANIME/USDT:USDT,long,alt,3,08-31 10:13,08-31 10:58,1788138818.844,1788141483.87,0.7402849999401304,10,27,16,1.0,1412.5949200000002,470.8649733333334,-29.20264000011538,-1.006555392,-30.20919539211538,-0.06415681161896443,False,trend_down,27.5,0.6,0.0,08-31
ANIME/USDT:USDT,long,alt,3,08-31 10:58,08-31 11:09,1788141513.69,1788142180.344,0.1851816666788525,10,16,28,1.0,1122.3276,374.10920000000004,-26.792610000062783,-0.7984305324000002,-27.591040532462785,-0.0737513018457252,False,trend_down,27.5,0.6,-0.22,08-31
O/USDT:USDT,long,alt,3,08-31 09:05,08-31 10:48,1788134703.574,1788140913.665,1.7250252778000301,9,44,1,1.0,1297.194,432.39799999999997,-33.89000000000255,-0.9217792800000001,-34.811779280002554,-0.08050865008626903,False,trend_down,26.8,0.6,-0.38,08-31
ZK/USDT:USDT,long,alt,3,08-31 09:35,08-31 10:31,1788136549.997,1788139876.635,0.92406611111429,9,33,32,1.0,972.3269300000002,324.1089766666667,-21.09992000006842,-0.6924794183999999,-21.79239941846842,-0.06723787672465809,False,trend_down,26.8,0.6,-0.38,08-31
ZKP/USDT:USDT,long,alt,3,08-31 09:34,08-31 09:46,1788136464.864,1788137205.832,0.2058244444264306,9,11,9,1.0,1476.1501999999998,492.0500666666666,-21.494800000005068,-1.0550900159999999,-22.54989001600507,-0.04582844621639127,False,trend_down,26.8,0.6,0.0,08-31
ZKP/USDT:USDT,long,alt,3,08-31 10:03,08-31 10:07,1788138218.489,1788138448.0,0.06375305553277334,10,15,21,1.0,1208.6055000000001,402.86850000000004,-27.110000000004568,-0.8604363599999998,-27.97043636000457,-0.06942820389284485,False,trend_down,27.5,0.6,0.0,08-31
AUCTION/USDT:USDT,long,alt,3,08-31 02:00,08-31 08:29,1788109249.761,1788132560.971,6.475336111121708,2,22,13,1.0,1716.7783,572.2594333333333,35.28829999999973,-1.2487841639999997,34.03951583599973,0.059482664423239275,False,trend_up,24.1,0.39,-1.71,08-31
GIGGLE/USDT:USDT,long,alt,3,08-31 07:42,08-31 08:23,1788129720.789,1788132204.459,0.6899083333545261,7,11,20,1.0,915.9455000000002,305.3151666666667,-5.821100000000005,-0.6573851639999999,-6.478485164000005,-0.021219008654990948,False,trend_down,25.1,0.46,-0.96,08-31
BNB/USDT:USDT,long,major,5,08-31 02:25,08-31 08:17,1788110746.122,1788131826.733,5.855725277794732,2,2,19,1.0,1005.6959999999999,201.1392,-2.9610000000000003,-0.7230351599999999,-3.68403516,-0.01831584872565865,False,trend_up,24.1,0.39,-1.71,08-31
ZORA/USDT:USDT,long,alt,3,08-31 06:04,08-31 06:37,1788123885.926,1788125856.312,0.5473294444216622,6,12,23,1.0,915.6376399999999,305.21254666666664,-4.00725000002497,-0.6578164908000002,-4.66506649082497,-0.015284648490941147,False,trend_up,26.0,0.44,0.0,08-31
ZORA/USDT:USDT,long,alt,3,08-31 06:38,08-31 06:42,1788125899.905,1788126123.783,0.06218833333916134,6,11,11,1.0,1151.7682700000003,383.92275666666677,-23.813080000020317,-0.8207004456000002,-24.633780445620317,-0.06416337666331173,False,trend_up,26.0,0.44,0.0,08-31
ZORA/USDT:USDT,long,alt,3,08-31 07:00,08-31 07:43,1788127253.212,1788129801.385,0.7078258333603541,7,28,5,1.0,1141.56636,380.52212000000003,-25.247310000098555,-0.8128387476000001,-26.060148747698555,-0.06848524008984958,False,trend_down,25.1,0.46,0.0,08-31
TRX/USDT:USDT,long,major,5,08-31 02:00,08-31 07:35,1788109247.472,1788129315.825,5.574542500045564,2,17,6,1.0,1010.4207,202.08414,-10.207100000000311,-0.723828348,-10.930928348000311,-0.05409097590736369,False,trend_up,24.1,0.39,-0.75,08-31
DASH/USDT:USDT,long,alt,3,08-31 02:00,08-31 06:01,1788109258.596,1788123711.142,4.014596111112171,2,18,11,1.0,1288.0194000000001,429.3398,-26.322100000000013,-0.917898012,-27.23999801200001,-0.06344624470407824,False,trend_up,24.1,0.39,-0.47,08-31
